Matchup,Open,Closing Range Start,Closing Range End,Movement,Event,Date
Khalid Taha,110.0,120.0,155.0,,nan,Apr 13th 2019
Boston Salmon,160.0,-170.0,-155.0,-0.611,Dana White's Contender Series 1,
Ricky Turcios,-210.0,135.0,150.0,,nan,Jul 11th 2017
Boston Salmon,-300.0,-300.0,-300.0,,RFA 43: Camozzi vs. Barnes,
Zac Riley,220.0,220.0,220.0,,nan,Sep 9th 2016
Boston Salmon,,,,,LFA 84: Gonzales vs. Childers,
Shawn West,,,,,nan,Jul 10th 2020
Boston Salmon,,,,,LFA 13: Millender vs. Holland,
Trent Meaux,,,,,nan,Jun 2nd 2017
Boston Salmon,,,,,RFA 33: Chavez vs. Townsend,
Keith Carson,,,,,nan,Dec 11th 2015
Boston Salmon,,,,,RFA 26: Smith vs. Smith,
Danny Mainus,,,,,nan,Jun 5th 2015
Boston Salmon,,,,,RFA 20: Sanders vs. Mercado,
James Deherrera,,,,,nan,Nov 7th 2014
Boston Salmon,,,,,RFA 16: Copeland vs. Jorgenson,
Zac Chavez,,,,,nan,Jul 25th 2014
Boston Salmon,,,,,RFA 12: Ortega vs. Koch,
Perceu Friza,,,,,nan,Jan 24th 2014
Bubba Bush,-245.0,-355.0,-330.0,-0.09,UFC Fight Night 76: Holohan vs. Smolka,
Garreth McLellan,175.0,270.0,290.0,,nan,Oct 24th 2015
Bubba Bush,,,,,Legacy Fighting Championships 8,
Josh Foster,,,,,nan,Sep 16th 2011
Heath Herring,185.0,180.0,180.0,-0.018,Rizin FF 5: Sakura,
Satoshi Ishii,-265.0,-260.0,-260.0,,nan,Apr 16th 2017
Heath Herring,285.0,285.0,285.0,0.0,Rizin 3,
Heath Herring,190.0,175.0,175.0,-0.055,UFC 87: Seek And Destroy,
Brock Lesnar,-250.0,-190.0,-190.0,,nan,Aug 9th 2008
Heath Herring,158.0,155.0,155.0,-0.012,UFC 82: Pride Of A Champion,
Heath Herring,470.0,500.0,500.0,0.05,UFC 73: Stacked,
Maurice Greene,475.0,290.0,350.0,-0.366,Professional Fighters League,
Renan Ferreira,-770.0,-500.0,-375.0,,nan,Aug 19th 2023
Maurice Greene,240.0,380.0,425.0,0.312,PFL,
Ante Delija,-350.0,-600.0,-549.0,,nan,Jun 17th 2023
Maurice Greene,350.0,215.0,300.0,-0.261,PFL Week 2,
Marcelo Nunes,-450.0,-400.0,-270.0,,nan,Apr 7th 2023
Maurice Greene,350.0,400.0,575.0,0.205,PFL Week 5,
Denis Goltsov,-450.0,-909.0,-649.0,,nan,Jun 24th 2022
Maurice Greene,175.0,250.0,300.0,0.267,UFC on ESPN+ 39: Hall vs. Silva,
Greg Hardy,-205.0,-360.0,-333.0,,nan,Oct 31st 2020
Maurice Greene,-215.0,-290.0,-278.0,-0.0819999999999999,UFC on ESPN 12: Poirier vs. Hooker,
Maurice Greene,175.0,190.0,200.0,0.074,UFC on ESPN+ 20: Maia vs. Askren,
Sergei Pavlovich,-245.0,-250.0,-225.0,,nan,Oct 26th 2019
Maurice Greene,-155.0,-125.0,-111.0,0.103,UFC on ESPN 3: Ngannou vs. Dos Santos,
Maurice Greene,110.0,180.0,220.0,0.311,UFC on ESPN+ 4: Lewis vs. Dos Santos,
Maurice Greene,-185.0,-143.0,-133.0,0.104,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,
Michel Batista,145.0,113.0,120.0,,nan,Nov 30th 2018
Maurice Greene,-190.0,-115.0,126.0,0.259,LFA 38: Hughes vs. Greene,
Maurice Greene,-155.0,115.0,115.0,0.235,LFA 19: Michaud vs. Rodrigues,
Jermaine McDermott,115.0,-155.0,-155.0,,nan,Aug 18th 2017
Maurice Greene,155.0,146.0,163.0,-0.004,UFC on ESPN 24: Rodriguez vs. Waterson,
Maurice Greene,140.0,-125.0,-110.0,-0.304,UFC 246: McGregor vs. Cowboy,
Aleksei Oleinik,-180.0,-110.0,103.0,,nan,Jan 18th 2020
Maurice Greene,,,,,Legacy FC 60: Heden vs. East,
Zach Thumb,,,,,nan,Oct 7th 2016
Jarred Brooks,-1000.0,-1100.0,-800.0,0.008,ONE Fight Night,
Gustavo Balart,550.0,500.0,575.0,,nan,Aug 3rd 2024
Jarred Brooks,-400.0,-400.0,-400.0,,ONE,
Joshua Pacio,285.0,285.0,285.0,,nan,Mar 1st 2024
Mikey Musimeci,-1400.0,-1587.0,-1400.0,,nan,Aug 5th 2023
Jarred Brooks,-300.0,-500.0,-390.0,-0.0819999999999999,ONE Championship 164,
Jarred Brooks,-245.0,-300.0,-190.0,0.0,UFC 228: Woodley vs. Till,
Roberto Sanchez,175.0,175.0,250.0,,nan,Sep 8th 2018
Jarred Brooks,185.0,117.0,125.0,-0.29,UFC Fight Night 131: Rivera vs. Moraes,
Jose Torres,-265.0,-145.0,-137.0,,nan,Jun 1st 2018
Jarred Brooks,-190.0,-145.0,-143.0,0.099,UFC Fight Night 119: Machida vs. Brunson,
Deiveson Figueiredo,150.0,123.0,125.0,,nan,Oct 28th 2017
Jarred Brooks,-150.0,-150.0,-145.0,0.005,UFC 214: Cormier vs. Jones 2,
Eric Shelton,110.0,125.0,130.0,,nan,Jul 29th 2017
Jarred Brooks,,,,,Bellator 237: Fedor vs. Rampage,
Haruo Ochi,,,,,nan,Dec 28th 2019
Jarred Brooks,,,,,WXC 83: Warrior Wednesday 8,
Victor Altamirano,,,,,nan,Oct 30th 2019
Jarred Brooks,,,,,Rizin FF 18,
Warlley Alves,154.0,205.0,280.0,0.251,UFC,
Abus Magomedov,-185.0,-360.0,-265.0,,nan,May 18th 2024
Warlley Alves,325.0,425.0,500.0,0.245,UFC 294,
Ikram Aliskerov,-400.0,-700.0,-599.0,,nan,Oct 21st 2023
Warlley Alves,-110.0,-140.0,125.0,-0.064,UFC 283,
Nicolas Dalby,-110.0,-150.0,120.0,,nan,Jan 21st 2023
Warlley Alves,165.0,165.0,165.0,,UFC 270,
Jack Della Maddalena,-200.0,-200.0,-200.0,,nan,Jan 22nd 2022
Warlley Alves,-205.0,-260.0,-112.0,-0.04,UFC Fight Night 190: Gane vs. Volkov,
Jeremiah Wells,165.0,-112.0,220.0,,nan,Jun 26th 2021
Warlley Alves,-115.0,200.0,233.0,0.408,UFC on ESPN 20: Chiesa vs. Magny,
Mounir Lazzez,-115.0,-273.0,-250.0,,nan,Jan 20th 2021
Warlley Alves,-180.0,-139.0,-130.0,0.106,UFC on ESPN+ 22: Blachowicz vs. Jacare,
Randy Brown,140.0,110.0,115.0,,nan,Nov 16th 2019
Warlley Alves,-160.0,-152.0,-131.0,0.055,UFC 237: Namajunas vs. Andrade,
Sergio Moraes,140.0,111.0,125.0,,nan,May 11th 2019
Warlley Alves,-230.0,-330.0,-330.0,-0.1009999999999999,UFC Fight Night 135: Gaethje vs. Vick,
Warlley Alves,-260.0,-280.0,-270.0,-0.015,UFC 224: Nunes vs. Pennington,
Sultan Aliev,180.0,230.0,240.0,,nan,May 12th 2018
Warlley Alves,-315.0,-305.0,-300.0,0.009,UFC Fight Night 118: Cerrone vs. Till,
Salim Touahri,235.0,250.0,255.0,,nan,Oct 21st 2017
Warlley Alves,175.0,175.0,175.0,0.0,UFC Fight Night 100: Bader vs. Nogueira,
Warlley Alves,-350.0,-600.0,-510.0,-0.089,UFC 198: Werdum vs. Miocic,
Warlley Alves,-120.0,102.0,105.0,0.1009999999999999,UFC 194: Aldo vs. McGregor,
Colby Covington,-120.0,-125.0,-122.0,,nan,Dec 12th 2015
Warlley Alves,-230.0,-340.0,-330.0,-0.105,UFC 190: Rousey vs. Correia,
Warlley Alves,-230.0,-415.0,-380.0,-0.147,UFC Fight Night 56: Shogun vs. St. Preux,
Warlley Alves,-175.0,-200.0,-195.0,-0.044,UFC: The Ultimate Fighter Brazil 3 Finale,
Marcio Alexandre Junior,135.0,170.0,185.0,,nan,May 31st 2014
Eryk Anders,-125.0,-560.0,-450.0,-0.517,UFC,
Jamie Pickett,105.0,350.0,410.0,,nan,Mar 2nd 2024
Eryk Anders,128.0,118.0,140.0,0.009,UFC 289,
Marc-Andre Barriault,-148.0,-167.0,-138.0,,nan,Jun 10th 2023
Eryk Anders,160.0,105.0,110.0,-0.25,Fury Grappling 6,
Joe Pyfer,-200.0,-143.0,-135.0,,nan,Dec 30th 2022
Eryk Anders,190.0,175.0,220.0,0.003,UFC Fight Night 214,
Kyle Daukaus,-225.0,-260.0,-225.0,,nan,Dec 3rd 2022
Eryk Anders,-110.0,160.0,175.0,0.28,UFC Fight Night 2010,
Jun Yong Park,-110.0,-225.0,-185.0,,nan,May 21st 2022
Eryk Anders,105.0,150.0,175.0,0.215,UFC 269,
Andre Muniz,-125.0,-200.0,-175.0,,nan,Dec 11th 2021
Eryk Anders,-165.0,-165.0,-165.0,,UFC Fight Night: Holloway vs. Rodriguez,
Roman Dolidze,140.0,140.0,140.0,,nan,Nov 13th 2021
Eryk Anders,-110.0,-152.0,-140.0,-0.142,UFC 263: Adesanya vs. Vettori 2,
Eryk Anders,-170.0,-139.0,-113.0,0.127,UFC Fight Night 182: Felder vs. dos Anjos,
Antonio Arroyo,145.0,-107.0,110.0,,nan,Nov 14th 2020
Eryk Anders,-110.0,-105.0,104.0,0.045,UFC on ESPN 8: Overeem vs. Harris,
Eryk Anders,-150.0,-140.0,-137.0,0.031,UFC on ESPN+ 19: Joanna vs. Waterson,
Eryk Anders,-245.0,-357.0,-280.0,-0.066,UFC on ESPN 3: Ngannou vs. Dos Santos,
Vinicius Moreira,175.0,240.0,275.0,,nan,Jun 29th 2019
Eryk Anders,-165.0,-189.0,-180.0,-0.043,UFC 236: Holloway vs. Poirier 2,
Khalil Rountree,125.0,155.0,162.0,,nan,Apr 13th 2019
Eryk Anders,-165.0,105.0,130.0,0.267,UFC 231: Holloway vs. Ortega,
Elias Theodorou,125.0,-161.0,-125.0,,nan,Dec 8th 2018
Eryk Anders,110.0,161.0,170.0,0.211,UFC Fight Night 137: Santos vs. Anders,
Eryk Anders,-280.0,-1250.0,-1200.0,-0.255,UFC Fight Night 135: Gaethje vs. Vick,
Tim Williams,200.0,775.0,825.0,,nan,Aug 25th 2018
Eryk Anders,-300.0,-250.0,-245.0,0.05,UFC Fight Night 125: Machida vs. Anders,
Eryk Anders,-315.0,-470.0,-440.0,-0.08,UFC Fight Night 123: Swanson vs. Ortega,
Markus Perez,235.0,370.0,375.0,,nan,Dec 9th 2017
Eryk Anders,-120.0,-115.0,-115.0,0.019,UFC on FOX 25: Weidman vs. Gastelum,
Rafael Natal,-110.0,-105.0,-105.0,,nan,Jul 22nd 2017
Eryk Anders,-135.0,-170.0,-170.0,-0.096,LFA 14: Allen vs. Anders,
Brendan Allen,-105.0,130.0,130.0,,nan,Jun 23rd 2017
Eryk Anders,160.0,134.0,150.0,-0.074,UFC Fight Night 187: Edwards vs. Muhammad,
Eryk Anders,-460.0,-460.0,-460.0,,LFA 6: Junior vs. Rodriguez,
Jon Kirk,320.0,320.0,320.0,,nan,Mar 10th 2017
Eryk Anders,,,,,Bellator 162: Shlemenko vs. Grove,
Brian White,,,,,nan,Oct 21st 2016
Mike Rhodes,-185.0,-430.0,-430.0,-0.25,LFA 68: Jennerman vs. Barbosa,
Cristhian Torres,145.0,310.0,310.0,,nan,May 31st 2019
Mike Rhodes,280.0,310.0,325.0,0.091,UFC Fight Night 58: Machida vs. Dollaway,
Erick Silva,-400.0,-400.0,-375.0,,nan,Dec 20th 2014
Mike Rhodes,175.0,210.0,230.0,0.141,UFC Fight Night 43: Te Huna vs. Marquardt,
Mike Rhodes,-265.0,-295.0,-280.0,-0.022,UFC on FOX 10: Henderson vs. Thomson,
Mike Rhodes,-170.0,-280.0,-280.0,-0.17,RFA 10: Rhodes vs. Jouban,
Mike Rhodes,-265.0,-240.0,-240.0,0.0279999999999999,RFA 8: Pegg vs. Pettis,
Benjamin Smith,185.0,180.0,180.0,,nan,Jun 21st 2013
Mike Rhodes,425.0,250.0,250.0,-0.5,RFA 7: Thatch vs. Rhodes,
Brandon Thatch,-675.0,-350.0,-350.0,,nan,Mar 22nd 2013
Mike Rhodes,,,,,CFFC 80: Fight for the Troops,
Najim Wali,,,,,nan,Nov 22nd 2019
Mike Rhodes,,,,,Bellator 181: Campos vs. Girtz 3,
Rafael Lovato,,,,,nan,Jul 14th 2017
Mike Rhodes,,,,,Victory FC 53: Rhodes vs. Stallings,
Ron Stallings,,,,,nan,Nov 23rd 2016
Mike Rhodes,,,,,Victory FC 51: Emerson vs. West,
Rakim Cleveland,,,,,nan,Jun 24th 2016
Anthony Pettis,160.0,-125.0,-115.0,-0.413,PFL Week 7,
Stevie Ray,-200.0,-116.0,105.0,,nan,Aug 5th 2022
Anthony Pettis,-300.0,-200.0,-170.0,0.139,PFL Week 5,
Anthony Pettis,-300.0,-450.0,-323.0,-0.053,PFL Week 3,
Myles Price,240.0,240.0,350.0,,nan,May 6th 2022
Anthony Pettis,-200.0,-240.0,-200.0,-0.025,PFL Week 6,
Raush Manfio,160.0,155.0,190.0,,nan,Jun 25th 2021
Anthony Pettis,-330.0,-227.0,-200.0,0.115,UFC Fight Night 183: Thompson vs. Neal,
Anthony Pettis,100.0,-139.0,-120.0,-0.13,UFC 241: Cormier vs. Miocic 2,
Anthony Pettis,205.0,300.0,345.0,0.282,UFC on ESPN+ 6: Thompson vs. Pettis,
Stephen Thompson,-285.0,-430.0,-400.0,,nan,Mar 23rd 2019
Anthony Pettis,185.0,280.0,300.0,0.273,UFC 229: Nurmagomedov vs. McGregor,
Anthony Pettis,110.0,144.0,155.0,0.16,UFC 226: Miocic vs. Cormier,
Anthony Pettis,-140.0,-110.0,-110.0,0.102,UFC Fight Night 120: Poirier vs. Pettis,
Anthony Pettis,-265.0,-235.0,-235.0,0.034,UFC 213: Romero vs. Whittaker,
Anthony Pettis,145.0,240.0,250.0,0.29,UFC 206: Holloway vs. Pettis,
Anthony Pettis,-190.0,-175.0,-165.0,0.039,UFC on FOX 21: Maia vs. Condit,
Anthony Pettis,-180.0,-190.0,-180.0,-0.01,UFC 197: Jones vs. Saint Preux,
Anthony Pettis,-290.0,-360.0,-360.0,-0.052,UFC Fight Night 81: Dillashaw vs. Cruz,
Anthony Pettis,-350.0,-520.0,-450.0,-0.066,UFC 185: Pettis vs. dos Anjos,
Anthony Pettis,-185.0,-315.0,-305.0,-0.165,UFC 181: Hendricks vs. Lawler 2,
Gilbert Melendez,145.0,255.0,285.0,,nan,Dec 6th 2014
Anthony Pettis,-360.0,-649.0,-420.0,-0.078,"PFL 2021, Week 1",
Clay Collard,260.0,320.0,425.0,,nan,Apr 23rd 2021
Anthony Pettis,-150.0,-152.0,-134.0,0.022,UFC 249: Ferguson vs. Gaethje,
Anthony Pettis,135.0,125.0,200.0,0.139,UFC 246: McGregor vs. Cowboy,
Diego Ferreira,-165.0,-250.0,-135.0,,nan,Jan 18th 2020
Anthony Pettis,120.0,-115.0,-110.0,-0.1669999999999999,UFC 164: Henderson vs. Pettis II,
Anthony Pettis,-105.0,-155.0,-150.0,-0.181,UFC on FOX 6: Johnson vs. Dodson,
Anthony Pettis,-180.0,-285.0,-285.0,-0.152,UFC 144: Edgar vs. Henderson,
Anthony Pettis,-320.0,-280.0,-280.0,0.033,UFC 136: Edgar vs. Maynard 3,
Anthony Pettis,-160.0,-220.0,-220.0,-0.1169999999999999,UFC: The Ultimate Fighter 13 Finale,
Anthony Pettis,145.0,170.0,170.0,0.093,WEC 53,
Anthony Pettis,135.0,185.0,185.0,0.175,WEC 50: Cruz vs. Benavidez,
Shane Roller,-165.0,-200.0,-200.0,,nan,Aug 18th 2010
Anthony Pettis,-550.0,-700.0,-700.0,-0.034,WEC 48: Aldo vs. Faber,
Alex Karalexis,400.0,500.0,500.0,,nan,Apr 24th 2010
Anthony Pettis,140.0,110.0,110.0,-0.143,WEC 47: Bowles vs. Cruz,
Anthony Pettis,-195.0,-225.0,-225.0,-0.047,WEC 45: Cerrone vs Ratcliff,
Anthony Pettis,243.0,163.0,163.0,-0.304,WEC 41: Brown vs Faber 2,
Mike Campbell,-310.0,-200.0,-200.0,,nan,Jun 7th 2009
Francisco Trinaldo,-400.0,-350.0,-350.0,0.0279999999999999,Gamebred,
Sasha Palatnikov,275.0,240.0,240.0,,nan,Nov 11th 2023
Francisco Trinaldo,195.0,250.0,280.0,0.187,UFC Vegas 57,
Francisco Trinaldo,-140.0,-120.0,125.0,0.151,UFC 274: Oliveira vs. Gaethje,
Francisco Trinaldo,-160.0,-145.0,-125.0,0.066,UFC Fight Night: Costa vs. Vettori,
Dwight Grant,140.0,100.0,120.0,,nan,Oct 23rd 2021
Francisco Trinaldo,190.0,175.0,198.0,-0.0069999999999999,UFC Fight Night 189: Rozenstruik vs. Sakai,
Muslim Salikhov,-250.0,-250.0,-225.0,,nan,Jun 5th 2021
Francisco Trinaldo,-180.0,100.0,112.0,0.245,UFC on ESPN 14: Whittaker vs. Till,
Jai Herbert,140.0,-132.0,-125.0,,nan,Jul 25th 2020
Francisco Trinaldo,-165.0,-155.0,-139.0,0.047,UFC on ESPN+ 22: Blachowicz vs. Jacare,
Francisco Trinaldo,135.0,182.0,210.0,0.198,UFC on ESPN 4: Dos Anjos vs. Edwards,
Francisco Trinaldo,-215.0,-170.0,-165.0,0.0819999999999999,UFC Fight Night 137: Santos vs. Anders,
Francisco Trinaldo,175.0,170.0,175.0,-0.0069999999999999,UFC Fight Night 126: Cerrone vs. Medeiros,
Francisco Trinaldo,-165.0,-220.0,-205.0,-0.093,UFC Fight Night 119: Machida vs. Brunson,
Francisco Trinaldo,-130.0,145.0,150.0,0.287,UFC Fight Night 106: Belfort vs. Gastelum,
Kevin Lee,-110.0,-170.0,-170.0,,nan,Mar 11th 2017
Francisco Trinaldo,-130.0,-164.0,-155.0,-0.089,UFC Fight Night 95: Cyborg vs. Lansberg,
Francisco Trinaldo,-175.0,-300.0,-275.0,-0.166,UFC 198: Werdum vs. Miocic,
Francisco Trinaldo,130.0,130.0,133.0,0.009,UFC Fight Night 81: Dillashaw vs. Cruz,
Ross Pearson,-170.0,-153.0,-150.0,,nan,Jan 17th 2016
Francisco Trinaldo,150.0,350.0,365.0,0.4539999999999999,UFC Fight Night 74: Holloway vs. Oliveira,
Chad Laprise,-190.0,-460.0,-450.0,,nan,Aug 23rd 2015
Francisco Trinaldo,130.0,210.0,215.0,0.265,UFC Fight Night 67: Alves vs. Condit,
Francisco Trinaldo,-280.0,-200.0,-200.0,0.095,UFC Fight Night 62: Maia vs. LaFlare,
Akbarh Arreola,200.0,170.0,170.0,,nan,Mar 21st 2015
Francisco Trinaldo,-190.0,-190.0,-185.0,0.004,UFC Fight Night 51: Big Foot vs. Arlovski II,
Leandro Silva,150.0,165.0,170.0,,nan,Sep 13th 2014
Francisco Trinaldo,130.0,130.0,140.0,0.021,UFC 173: Barao vs. Dillashaw,
Francisco Trinaldo,-185.0,-170.0,-155.0,0.045,UFC Fight Night 36: Machida vs. Mousasi,
Jesse Ronson,145.0,140.0,145.0,,nan,Feb 15th 2014
Francisco Trinaldo,-200.0,-164.0,-151.0,0.081,UFC on ESPN+ 28: Lee vs. Oliveira,
Francisco Trinaldo,-260.0,-325.0,-310.0,-0.053,UFC Fight Night 28: Teixeira vs. Bader,
Piotr Hallmann,180.0,250.0,280.0,,nan,Sep 4th 2013
Francisco Trinaldo,-385.0,-320.0,-320.0,0.04,UFC on FX 8: Belfort vs. Rockhold,
Mike Rio,265.0,270.0,290.0,,nan,May 18th 2013
Francisco Trinaldo,120.0,110.0,120.0,-0.023,UFC 153: Silva vs. Bonnar,
Sage Northcutt,-225.0,-400.0,-333.0,-0.135,ONE Championship,
Sage Northcutt,-175.0,-200.0,-166.0,-0.016,One,
Ahmed Mujtaba,130.0,130.0,160.0,,nan,May 5th 2023
Sage Northcutt,-140.0,-148.0,-125.0,0.009,UFC Fight Night 133: Dos Santos vs. Ivanov,
Zak Ottow,100.0,105.0,128.0,,nan,Jul 14th 2018
Sage Northcutt,-245.0,-190.0,-176.0,0.089,UFC Fight Night 120: Poirier vs. Pettis,
Michel Quinones,175.0,151.0,165.0,,nan,Nov 11th 2017
Sage Northcutt,100.0,140.0,141.0,0.17,UFC on FOX 22: VanZant vs. Waterson,
Sage Northcutt,-300.0,-500.0,-490.0,-0.109,UFC 200: Tate vs. Nunes,
Enrique Marin,220.0,385.0,390.0,,nan,Jul 9th 2016
Sage Northcutt,-265.0,-275.0,-265.0,-0.005,UFC on FOX 18: Johnson vs. Bader,
Sage Northcutt,-705.0,-1000.0,-900.0,-0.033,UFC Fight Night 80: VanZant vs. Namajunas,
Cody Pfister,435.0,600.0,650.0,,nan,Dec 10th 2015
Sage Northcutt,-230.0,-470.0,-450.0,-0.179,UFC 192: Cormier vs. Gustafsson,
Francisco Trevino,170.0,350.0,375.0,,nan,Oct 3rd 2015
Sage Northcutt,-215.0,-375.0,-365.0,-0.153,UFC Fight Night 126: Cerrone vs. Medeiros,
Thibault Gouti,170.0,300.0,313.0,,nan,Feb 18th 2018
Sage Northcutt,,,,,ONE Championship 96: Enter the Dragon,
Cosmo Alexandre,,,,,nan,May 17th 2019
Sage Northcutt,,,,,Legacy FC 44: Araujo vs. Morono,
Andrew Parker,,,,,nan,Aug 28th 2015
Sage Northcutt,,,,,Legacy FC 42: Njokuani vs. Quayhagen,
Gage Duhon,,,,,nan,Jun 26th 2015
Nate Quarry,-280.0,-230.0,-230.0,0.054,UFC Fight Night 21: Florian vs. Gomi,
Jorge Rivera,220.0,190.0,190.0,,nan,Mar 31st 2010
Nate Quarry,-270.0,-250.0,-250.0,0.021,UFC Fight Night 19,
Nate Quarry,-130.0,130.0,130.0,0.231,UFC 97: Redemption,
Nate Quarry,180.0,215.0,215.0,0.111,UFC 91: Couture vs Lesnar,
Nate Quarry,-550.0,-225.0,-225.0,0.182,UFC 83: Serra vs St-Pierre 2,
Nate Quarry,-360.0,-220.0,-220.0,0.122,UFC Fight Night 11: Thomas vs Florian,
Pete Sell,253.0,180.0,180.0,,nan,Sep 19th 2007
Jonathan Martinez,-117.0,-180.0,-150.0,-0.144,UFC,
Jonathan Martinez,-105.0,-125.0,-112.0,-0.044,UFC Fight Night,
Jonathan Martinez,190.0,180.0,210.0,0.03,UFC Fight Night 221,
Said Nurmagomedov,-225.0,-260.0,-225.0,,nan,Mar 11th 2023
Jonathan Martinez,-205.0,-225.0,-205.0,-0.017,UFC Fight Night 212,
Jonathan Martinez,-150.0,-280.0,-245.0,-0.208,UFC Fight Night 2010,
Vince Morales,130.0,190.0,230.0,,nan,May 21st 2022
Jonathan Martinez,-210.0,-335.0,-225.0,-0.109,UFC Fight Night 203,
Alejandro Perez,180.0,185.0,263.0,,nan,Feb 26th 2022
Jonathan Martinez,140.0,-118.0,100.0,-0.252,UFC Fight Night: Costa vs. Vettori,
Zviad Lazishvili,-170.0,-125.0,-102.0,,nan,Oct 23rd 2021
Aaron Phillips,260.0,260.0,260.0,,nan,Oct 23rd 2021
Jonathan Martinez,165.0,110.0,120.0,-0.233,UFC on ESPN+ 38: Ortega vs. The Korean Zombie,
Thomas Almeida,-190.0,-140.0,-134.0,,nan,Oct 17th 2020
Jonathan Martinez,-225.0,-250.0,-240.0,-0.026,UFC on ESPN+ 31: Brunson vs. Shahbazyan,
Frankie Saenz,190.0,200.0,205.0,,nan,Aug 1st 2020
Jonathan Martinez,165.0,100.0,103.0,-0.318,UFC 247: Jones vs. Reyes,
Andre Ewell,-190.0,-125.0,-120.0,,nan,Feb 8th 2020
Jonathan Martinez,205.0,150.0,180.0,-0.1639999999999999,UFC on ESPN+ 13: De Randamie vs. Ladd,
Liu Pingyuan,-285.0,-220.0,-175.0,,nan,Jul 13th 2019
Jonathan Martinez,-180.0,-161.0,-125.0,0.095,UFC 234: Adesanya vs. Silva,
Wuliji Buren,140.0,105.0,130.0,,nan,Feb 9th 2019
Jonathan Martinez,175.0,120.0,130.0,-0.217,UFC Fight Night 138: Volkan vs. Smith,
Andre Soukhamthath,-245.0,-161.0,-140.0,,nan,Oct 27th 2018
Jonathan Martinez,-290.0,-335.0,-300.0,-0.021,UFC Fight Night 187: Edwards vs. Muhammad,
Davey Grant,245.0,230.0,260.0,,nan,Mar 13th 2021
Jonathan Martinez,,,,,Legacy FC 49: Krantz vs. Morono,
Aalon Cruz,-163.0,120.0,130.0,0.28,Bellator,
Alfie Davis,120.0,-167.0,-140.0,,nan,Aug 11th 2023
Aalon Cruz,-185.0,-118.0,110.0,0.222,Bellator 295,
Bobby King,160.0,-130.0,-118.0,,nan,Apr 22nd 2023
Aalon Cruz,-300.0,-205.0,-195.0,0.111,Fury FC 60,
Charles Cheeks III,240.0,150.0,165.0,,nan,Apr 24th 2022
Aalon Cruz,-200.0,-425.0,-400.0,-0.21,Fury FC 55,
Matt Mooney,160.0,275.0,325.0,,nan,Dec 19th 2021
Aalon Cruz,-125.0,140.0,175.0,0.3,UFC 259: Blachowicz vs. Adesanya,
Uros Medic,105.0,-205.0,-172.0,,nan,Mar 6th 2021
Aalon Cruz,180.0,140.0,150.0,-0.152,Dana White's Contender Series 22,
Steven Nguyen,-260.0,-189.0,-160.0,,nan,Jul 30th 2019
Aalon Cruz,-130.0,-207.0,-200.0,-0.183,UFC on ESPN+ 27: Benavidez vs. Figueiredo,
Spike Carlyle,100.0,170.0,177.0,,nan,Feb 29th 2020
Shane Nelson,-210.0,-135.0,-135.0,0.152,MFC 35: Explosive Encounter,
Graham Spencer,160.0,-105.0,-105.0,,nan,Oct 26th 2012
Shane Nelson,260.0,270.0,270.0,0.027,UFC 107: Penn vs Sanchez,
Shane Nelson,-120.0,135.0,135.0,0.22,UFC 101: Declaration,
Shane Nelson,175.0,225.0,225.0,0.154,UFC 96: Jackson vs Jardine,
Shane Nelson,-120.0,110.0,110.0,0.127,UFC: The Ultimate Fighter 8 Finale,
Shane Nelson,,,,,Superior Cage Combat 3,
Shane Nelson,,,,,Shark Fights 18: Nelson vs. Wetherspoon,
Aaron Wetherspoon,,,,,nan,Aug 19th 2011
Shane Nelson,,,,,Colosseo Championship Fighting 6: Bushido,
David Douglas,,,,,nan,Jul 23rd 2011
Dan Miller,-135.0,-105.0,-105.0,0.108,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,
Trevor Smith,-105.0,-115.0,-115.0,,nan,Jul 12th 2015
Dan Miller,170.0,250.0,250.0,0.2289999999999999,UFC 158: St-Pierre vs. Diaz,
Jordan Mein,-230.0,-300.0,-300.0,,nan,Mar 16th 2013
Dan Miller,-475.0,-450.0,-330.0,0.037,UFC on FX 4: Guida vs. Maynard,
Ricardo Funch,325.0,300.0,375.0,,nan,Jun 22nd 2012
Dan Miller,190.0,225.0,225.0,0.108,UFC 134: Silva vs. Okami,
Dan Miller,135.0,285.0,285.0,0.39,UFC 128: Shogun vs. Jones,
Dan Miller,-350.0,-250.0,-250.0,0.0819999999999999,UFC 124: St-Pierre vs. Koscheck II,
Joe Doerksen,260.0,210.0,210.0,,nan,Dec 11th 2010
Dan Miller,-275.0,-230.0,-230.0,0.05,UFC 118: Edgar vs. Penn 2,
Dan Miller,110.0,180.0,180.0,0.25,UFC 114: Jackson vs. Evans,
Dan Miller,250.0,250.0,250.0,0.0,UFC 109: Relentless,
Dan Miller,-155.0,-200.0,-200.0,-0.0969999999999999,UFC 98: Evans vs Machida,
Dan Miller,-215.0,-185.0,-185.0,0.049,UFC Fight Night 17: Lauzon vs Stephens,
Jake Rosholt,170.0,160.0,160.0,,nan,Feb 7th 2009
Dan Miller,-350.0,-340.0,-340.0,0.006,UFC 90: Silva vs Cote,
Matt Horwich,260.0,280.0,280.0,,nan,Oct 25th 2008
Dan Miller,-135.0,-110.0,-110.0,0.088,UFC Fight Night 15: Diaz vs Neer,
